published_doi,biorxiv_doi,published_doi,preprint_title,preprint_category,preprint_date,published_date,published_citation_count,days_to_publish,pub_prefix,pub_name,journal
10.1186/s40359-017-0173-4,10.1101/105858,10.1186/s40359-017-0173-4,VREX: An Open-Source Toolbox for Creating 3D Virtual Reality Experiments,neuroscience,2017-02-03,2017-02-14,0,11.0,10.1186,Springer (Biomed Central Ltd.),BMC Psychology
10.1534/genetics.116.199281,10.1101/095398,10.1534/genetics.116.199281,"Second Generation Drosophila Chemical Tags: Sensitivity, Versatility and Speed",neuroscience,2016-12-19,2017-02-16,2,59.0,10.1534,The Genetics Society of America,Genetics
10.1016/j.cortex.2016.12.024,10.1101/099937,10.1016/j.cortex.2016.12.024,Toddlers later diagnosed with autism exhibit multiple structural abnormalities in temporal corpus callosum fibers,neuroscience,2017-01-12,2017-01-23,7,11.0,10.1016,Elsevier,Cortex
10.1371/journal.pcbi.1005350,10.1101/091322,10.1371/journal.pcbi.1005350,Mindboggling morphometry of human brains,neuroscience,2016-12-03,2017-02-23,11,82.0,10.1371,Public Library of Science,PLOS Computational Biology
10.1016/j.neulet.2017.02.064,10.1101/086066,10.1016/j.neulet.2017.02.064,CRACKING THE BARCODES OF FULLERENE-LIKE CORTICAL MICROCOLUMNS,neuroscience,2016-11-07,2017-02-24,1,109.0,10.1016,Elsevier,Neuroscience Letters
10.1016/j.molmet.2017.02.007,10.1101/103408,10.1016/j.molmet.2017.02.007,Heterogeneity of hypothalamic Pro-opiomelanocortin-expressing neurons revealed by single-cell RNA sequencing,neuroscience,2017-01-26,2017-03-01,25,34.0,10.1016,Elsevier,Molecular Metabolism
10.1523/jneurosci.3484-16.2017,10.1101/086892,10.1523/JNEUROSCI.3484-16.2017,Spatial tuning shifts increase the discriminability and fidelity of population codes in visual cortex,neuroscience,2016-11-10,2017-02-27,2,109.0,10.1523,Society for Neuroscience,The Journal of Neuroscience
10.1016/j.cortex.2017.01.013,10.1101/090472,10.1016/j.cortex.2017.01.013,Multimodal representations of person identity individuated with fMRI,neuroscience,2016-11-29,2017-02-07,3,70.0,10.1016,Elsevier,Cortex
10.1038/srep43293,10.1101/081166,10.1038/srep43293,Measuring speaker-listener neural coupling with functional near infrared spectroscopy,neuroscience,2016-10-16,2017-02-27,13,134.0,10.1038,Nature Publishing Group,Scientific Reports
10.7554/elife.22749,10.1101/081349,10.7554/eLife.22749,Hierarchical Frequency Tagging reveals neural markers of predictive coding under varying uncertainty,neuroscience,2016-10-17,2017-02-28,3,134.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
